Running in CPU mode	
Epoch 2.12 / 50, i = 400 / 17800, loss = 2.098030	
Epoch 2.13 / 50, i = 401 / 17800, loss = 2.110360	
Epoch 2.13 / 50, i = 402 / 17800, loss = 2.162973	
Epoch 2.13 / 50, i = 403 / 17800, loss = 2.145906	
Epoch 2.13 / 50, i = 404 / 17800, loss = 2.166768	
Epoch 2.14 / 50, i = 405 / 17800, loss = 2.126373	
Epoch 2.14 / 50, i = 406 / 17800, loss = 2.105036	
Epoch 2.14 / 50, i = 407 / 17800, loss = 2.106767	
Epoch 2.15 / 50, i = 408 / 17800, loss = 2.121822	
Epoch 2.15 / 50, i = 409 / 17800, loss = 2.102816	
Epoch 2.15 / 50, i = 410 / 17800, loss = 2.100427	
Epoch 2.15 / 50, i = 411 / 17800, loss = 2.092705	
Epoch 2.16 / 50, i = 412 / 17800, loss = 2.095710	
Epoch 2.16 / 50, i = 413 / 17800, loss = 2.100348	
Epoch 2.16 / 50, i = 414 / 17800, loss = 2.135279	
Epoch 2.17 / 50, i = 415 / 17800, loss = 2.119080	
Epoch 2.17 / 50, i = 416 / 17800, loss = 2.172839	
Epoch 2.17 / 50, i = 417 / 17800, loss = 2.166925	
Epoch 2.17 / 50, i = 418 / 17800, loss = 2.104449	
Epoch 2.18 / 50, i = 419 / 17800, loss = 2.126242	
Epoch 2.18 / 50, i = 420 / 17800, loss = 2.157844	
Epoch 2.18 / 50, i = 421 / 17800, loss = 2.105973	
Epoch 2.19 / 50, i = 422 / 17800, loss = 2.117776	
